Date,Open,High,Low,Close,Adj Close,Volume
2017-10-01,1.174164,1.188072,1.157595,1.16527,1.16527,0
2017-11-01,1.165162,1.196043,1.155588,1.185199,1.185199,0
2017-12-01,1.18991,1.202284,1.171893,1.200005,1.200005,0
2018-01-01,1.200495,1.252992,1.191796,1.240957,1.240957,0
2018-02-01,1.241742,1.255808,1.218918,1.223032,1.223032,0
2018-03-01,1.219096,1.247816,1.2158,1.233198,1.233198,0
2018-04-01,1.233198,1.2415,1.205604,1.212283,1.212283,0
2018-05-01,1.208313,1.208459,1.151437,1.166725,1.166725,0
2018-06-01,1.169331,1.184161,1.15141,1.170494,1.170494,0
2018-07-01,1.170494,1.179078,1.157595,1.170741,1.170741,0
2018-08-01,1.168962,1.1733,1.130224,1.166466,1.166466,0
2018-09-01,1.162304,1.181502,1.152764,1.162304,1.162304,0
2018-10-01,1.160497,1.162129,1.131171,1.134636,1.134636,0
2018-11-01,1.131388,1.149994,1.122322,1.139277,1.139277,0
2018-12-01,1.1319,1.148488,1.127078,1.143995,1.143995,0
2019-01-01,1.149425,1.15714,1.130582,1.148765,1.148765,0
2019-02-01,1.145082,1.148844,1.123495,1.138019,1.138019,0
2019-03-01,1.137255,1.143995,1.118606,1.123305,1.123305,0
2019-04-01,1.122347,1.132503,1.112174,1.118518,1.118518,0
2019-05-01,1.121831,1.126342,1.110951,1.113115,1.113115,0
2019-06-01,1.119996,1.141396,1.116221,1.139095,1.139095,0
2019-07-01,1.136364,1.136751,1.110383,1.115797,1.115797,0
2019-08-01,1.107224,1.131299,1.09872,1.1012,1.1012,0
2019-09-01,1.1012,1.115822,1.088767,1.094271,1.094271,0
2019-10-01,1.089918,1.118068,1.088151,1.115449,1.115449,0
2019-11-01,1.115611,1.119445,1.098286,1.102,1.102,0
2019-12-01,1.10191,1.124101,1.100376,1.12023,1.12023,0
2020-01-01,1.122083,1.122838,1.099324,1.102913,1.102913,0
2020-02-01,1.109609,1.109609,1.077958,1.103,1.103,0
2020-03-01,1.102809,1.149584,1.065451,1.103047,1.103047,0
2020-04-01,1.102816,1.103753,1.072766,1.087725,1.087725,0
2020-05-01,1.094475,1.114467,1.076751,1.111,1.111,0
2020-06-01,1.111457,1.140017,1.110149,1.12472,1.12472,0
2020-07-01,1.123368,1.190799,1.118919,1.187225,1.187225,0
2020-08-01,1.178001,1.196516,1.170138,1.191824,1.191824,0
2020-09-01,1.193916,1.201129,1.161346,1.174205,1.174205,0
2020-10-01,1.172374,1.188213,1.164307,1.167679,1.167679,0
2020-11-01,1.1679,1.200206,1.160766,1.197146,1.197146,0
2020-12-01,1.193773,1.230951,1.193599,1.22999,1.22999,0
2021-01-01,1.217285,1.235025,1.205545,1.2139,1.2139,0
2021-02-01,1.212283,1.224155,1.195357,1.207361,1.207361,0
2021-03-01,1.20909,1.21105,1.170453,1.17236,1.17236,0
2021-04-01,1.172897,1.215214,1.171481,1.212709,1.212709,0
2021-05-01,1.202099,1.2267,1.198725,1.219007,1.219007,0
2021-06-01,1.223406,1.225415,1.184582,1.190193,1.190193,0
2021-07-01,1.185536,1.1911,1.175364,1.18678,1.18678,0
2021-08-01,1.18676,1.1902,1.166494,1.17969,1.17969,0
2021-09-01,1.181195,1.19076,1.157006,1.16016,1.16016,0
2021-10-01,1.157421,1.169317,1.153017,1.156136,1.156136,0
2021-11-01,1.155936,1.16171,1.118781,1.129344,1.129344,0
2021-12-01,1.133003,1.137915,1.123129,1.132503,1.132503,0
2022-01-01,1.137527,1.148369,1.112335,1.115237,1.115237,0
2022-02-01,1.122914,1.149425,1.111049,1.118105,1.118105,0
2022-03-01,1.121466,1.123217,1.080859,1.116184,1.116184,0
2022-04-01,1.107236,1.107542,1.047285,1.05463,1.05463,0
2022-05-01,1.05463,1.078516,1.035197,1.077354,1.077354,0
2022-06-01,1.073411,1.077006,1.03826,1.044659,1.044659,0
2022-07-01,1.047768,1.04779,0.995362,1.022704,1.022704,0
2022-08-01,1.020825,1.036914,0.990315,1.002506,1.002506,0
2022-09-01,1.003905,1.01968,0.954016,0.982956,0.982956,0
2022-10-01,0.980488,1.009489,0.963595,0.9955,0.9955,0
2022-11-01,0.988631,1.04967,0.973122,1.03245,1.03245,0
2022-12-01,1.042535,1.072846,1.039793,1.072846,1.072846,0
2023-01-01,1.072846,1.093255,1.048526,1.085069,1.085069,0
2023-02-01,1.086095,1.102657,1.053352,1.061121,1.061121,0
2023-03-01,1.057731,1.0929,1.052034,1.090465,1.090465,0
2023-04-01,1.087193,1.112842,1.078935,1.112842,1.112842,0
2023-05-01,1.101091,1.121202,1.065167,1.073307,1.073307,0
2023-06-01,1.069519,1.101115,1.066416,1.086803,1.086803,0
2023-07-01,1.091822,1.127574,1.083435,1.102426,1.102426,0
2023-08-01,1.099759,1.10584,1.07667,1.093255,1.093255,0
2023-09-01,1.08441,1.08808,1.049186,1.058761,1.058761,0
2023-10-01,1.058761,1.06905,1.044987,1.061504,1.061504,0
2023-11-01,1.05791,1.101686,1.052288,1.09737,1.09737,0
2023-12-01,1.089206,1.113945,0.919118,1.105583,1.105583,0
